date,wcontent,phead,hconduc,temp
2018-10-23,0.319,-687.5,0.005747,15.0
2018-10-24,0.307,-1267.0,0.0015879999999999998,15.85
2018-10-25,0.303,-1528.0,0.001059,18.42
2018-10-26,0.338,-258.0,0.03763,18.27
2018-10-27,0.338,-261.0,0.03688,17.25
2018-10-28,0.327,-471.4,0.01225,10.25
2018-10-29,0.322,-594.9,0.007713,10.56
2018-10-30,0.32,-685.4,0.005783,11.0
2018-10-31,0.317,-757.6,0.004705,12.05
2018-11-01,0.315,-861.9,0.0035979999999999996,10.93
2018-11-02,0.313,-956.3,0.002892,11.29
2018-11-03,0.311,-1050.0,0.002374,9.76
2018-11-04,0.308,-1179.0,0.0018540000000000002,11.27
2018-11-05,0.307,-1260.0,0.0016060000000000002,10.38
2018-11-06,0.352,-92.16,0.1837,9.41
2018-11-07,0.334,-326.8,0.02458,7.88
2018-11-08,0.335,-303.4,0.02817,9.75
2018-11-09,0.328,-446.0,0.01364,11.1
2018-11-10,0.323,-566.3,0.008517,10.66
2018-11-11,0.321,-639.6,0.006661,11.46
2018-11-12,0.344,-171.5,0.0746,9.45
2018-11-13,0.354,-73.51,0.24430000000000002,8.3
2018-11-14,0.356,-56.220000000000006,0.3328,8.11
2018-11-15,0.352,-91.31,0.1859,7.769999999999999
2018-11-16,0.351,-95.62,0.1749,7.860000000000001
2018-11-17,0.346,-151.3,0.0907,9.55
2018-11-18,0.341,-208.5,0.05424,8.03
2018-11-19,0.338,-259.7,0.0372,8.98
2018-11-20,0.335,-305.7,0.02778,8.58
2018-11-21,0.332,-366.9,0.01982,9.1
2018-11-22,0.328,-451.9,0.013300000000000001,10.57
2018-11-23,0.355,-56.510000000000005,0.331,11.59
2018-11-24,0.361,-9.61,1.372,7.75
2018-11-25,0.356,-56.25,0.3326,6.83
2018-11-26,0.347,-139.1,0.10300000000000001,8.7
2018-11-27,0.341,-212.9,0.05237000000000001,7.529999999999999
2018-11-28,0.338,-259.0,0.03739,7.76
2018-11-29,0.335,-310.3,0.02704,9.35
2018-11-30,0.332,-363.4,0.02017,9.92
2018-12-01,0.33,-399.9,0.01684,10.68
2018-12-02,0.325,-515.5,0.01027,9.97
2018-12-03,0.322,-593.9,0.007739,9.48
2018-12-04,0.319,-689.9,0.005707,10.97
2018-12-05,0.317,-793.8,0.004272,10.87
2018-12-06,0.352,-86.23,0.2002,9.76
2018-12-07,0.336,-287.4,0.031069999999999997,8.38
2018-12-08,0.33,-414.3,0.01573,7.99
2018-12-09,0.33,-401.4,0.01672,6.779999999999999
2018-12-10,0.325,-514.4,0.01031,6.83
2018-12-11,0.32,-676.7,0.005937,7.2
2018-12-12,0.315,-860.9,0.003607,7.269999999999999
2018-12-13,0.309,-1120.0,0.002067,11.41
2018-12-14,0.305,-1372.0,0.001337,9.42
2018-12-15,0.299,-1786.0,0.000754,7.889999999999999
2018-12-16,0.297,-1982.0,0.0006,8.96
2018-12-17,0.33,-410.4,0.01602,8.55
2018-12-18,0.324,-551.8,0.008968,7.62
