parameter,lower_bound,upper_bound,best_value,normalized_best_position,distance_to_lower,distance_to_upper,near_lower_bound,near_upper_bound,top10_min,top10_q25,top10_median,top10_q75,top10_max,top10_iqr,top20_min,top20_median,top20_max
ores,0.06,0.09,0.08831327443984992,0.943775814661664,0.02831327443984992,0.0016867255601500791,False,False,0.08702139657398533,0.08755630085527588,0.08834614711850625,0.0888707535280353,0.08996167911027395,0.0013144526727594252,0.07809729057836527,0.08832959480998155,0.08997193795802777
osat,0.25,0.5,0.37469979382257457,0.49879917529029827,0.12469979382257457,0.12530020617742543,False,False,0.3697212397968818,0.37511053640497927,0.3795704856284638,0.3829003456041199,0.384163583060573,0.007789809199140629,0.3647019917304993,0.3803073414600917,0.39147849179091126
alfa,0.006,0.0082,0.006101274936427497,0.04603406201249838,0.00010127493642749646,0.002098725063572504,True,False,0.0060445685080161215,0.006069830496266967,0.006090841615124697,0.006216877807820421,0.00645265067357655,0.00014704731155345402,0.006001803024047604,0.006142466521491351,0.006602739657288233
npar,1.1,1.61,1.1017549234778734,0.00344102642720258,0.0017549234778733158,0.5082450765221267,True,False,1.1000126368038956,1.1006749565567637,1.1047325075391656,1.1084551617998946,1.1129521559660494,0.007780205243130833,1.1000126368038956,1.1076544314400163,1.1158676185892011
ksatfit,10.01,20.0,19.58797357921765,0.9587561140358007,9.57797357921765,0.4120264207823503,False,True,18.771284770740067,19.07999210403097,19.358906526586765,19.523969434093956,19.984437363837987,0.44397733006298523,18.37112052460955,19.329184418816784,19.984437363837987
lexp,0.4,1.99,1.4691429065982637,0.6724169223888452,1.0691429065982638,0.5208570934017362,False,False,1.3203966119132338,1.3977203377925174,1.4694289092810573,1.650210114227556,1.6747939159977634,0.25248977643503867,1.3203966119132338,1.468877230742311,1.6747939159977634
ksatexm,20.01,40.01,37.23906937084666,0.861453468542333,17.229069370846656,2.770930629153341,False,False,36.26805540424607,36.8895414451891,37.02215574362951,37.5465443075279,38.170198360406374,0.6570028623387998,34.98763748259354,37.062425219127505,39.81461544254447
bdens,1350.01,1600.01,1489.64350645545,0.5585340258218002,139.63350645545006,110.36649354454994,False,False,1410.29333082272,1452.9353187438119,1467.5882489418032,1472.1036791101003,1490.5062496069365,19.168360366288425,1408.7740791851063,1467.159223668811,1498.6552377907065
