parameter,importance
npar,0.9430051242223951
osat,0.02521596552658109
ksatexm,0.012685437057414041
bdens,0.009245645833442872
alfa,0.0034099403579869714
lexp,0.0025926414341879513
ksatfit,0.002415136391756037
ores,0.0014301091762361439
