parameter,importance
ksatexm,0.23482646194626128
npar,0.18003580916221704
osat,0.15906765759927383
ores,0.11527633341284696
alfa,0.1061257109953406
bdens,0.10440172424922257
ksatfit,0.05970877718054382
lexp,0.04055752545429387
