parameter,pearson_correlation,spearman_correlation
ores,-0.35415868469620604,-0.42859462558865447
osat,-0.10627329324094119,-0.08084002100052502
alfa,0.35541088985488534,0.4688262206555165
npar,0.9103024443809732,0.8077116927923198
ksatfit,-0.40257263888955275,-0.36978324458111456
lexp,-0.28867732193085993,-0.23732693317332937
ksatexm,-0.3454374089941861,-0.4172279306982675
bdens,0.13124917775998654,-0.12268506712667818
