number,state,rmse,ores,osat,alfa,npar,ksatfit,lexp,ksatexm,bdens,best_so_far_rmse,previous_best_rmse,improvement,relative_improvement_percent
0,COMPLETE,0.11089596926849957,0.07123620356542087,0.48767857660247904,0.007610386671985092,1.4053158269404888,11.56862621801994,0.6480312873345622,21.17167224336399,1566.5540364437338,0.11089596926849957,,,
1,COMPLETE,0.15100268871778408,0.07803345035229627,0.42701814444901137,0.006045285887450766,1.594654024602617,18.326101981596214,0.7376191859784591,23.646499344142015,1395.8611274633583,0.11089596926849957,0.11089596926849957,0.0,0.0
2,COMPLETE,0.08906141701095936,0.06912726728878613,0.3811891079080595,0.006950279041012655,1.2485268615010015,16.122410418276573,0.6217952384367466,25.852892970704364,1441.600460823423,0.08906141701095936,0.11089596926849957,0.021834552257540205,19.68922080898606
3,COMPLETE,0.102066331373279,0.07368209952651107,0.4462939903482534,0.0064392823207483916,1.362259563590942,15.928221542931805,0.4738561562247964,32.160897038028764,1392.641030921823,0.08906141701095936,0.08906141701095936,0.0,0.0
4,COMPLETE,0.14595048475424807,0.06195154778955839,0.4872213843133333,0.008124390472764031,1.5122826475393953,13.053091554041973,0.5552986612701504,33.69466053024314,1460.0481234349004,0.08906141701095936,0.08906141701095936,0.0,0.0
5,COMPLETE,0.16580972227224794,0.06366114704534337,0.37379422752781755,0.00607565474645348,1.563753405060179,12.595212016184169,1.4534104321228312,26.24422152178822,1480.0270052944527,0.08906141701095936,0.08906141701095936,0.0,0.0
6,COMPLETE,0.16923141552324142,0.07640130838029839,0.2962136138813818,0.008133086181082029,1.4953177399141686,19.39559442622625,1.8227754871799617,31.9679995762217,1580.4785587557792,0.08906141701095936,0.08906141701095936,0.0,0.0
7,COMPLETE,0.13021445388281594,0.06265477506155759,0.2989957156047863,0.0060995000356031835,1.2659184686892648,13.892886123997926,0.8314449605204945,36.58475018303859,1439.1983316733972,0.08906141701095936,0.08906141701095936,0.0,0.0
8,COMPLETE,0.1514619292099503,0.06842803529062141,0.38567402078956214,0.006310033294944478,1.5091204601845603,10.754760930360911,1.9691502291948222,35.45489538593315,1399.688920383543,0.08906141701095936,0.08906141701095936,0.0,0.0
9,COMPLETE,0.144256507652168,0.06016566351370807,0.45386535711370857,0.007555086156464759,1.4717936557009037,17.7149907633926,0.5177309962572036,27.179314570885452,1378.9772648812825,0.08906141701095936,0.08906141701095936,0.0,0.0
10,COMPLETE,0.09696929410901166,0.08835409632691159,0.25149929573895435,0.006811203299986414,1.1091605565635583,15.25446975194395,1.1235203907695877,39.205414918908396,1522.5037016645276,0.08906141701095936,0.08906141701095936,0.0,0.0
11,COMPLETE,0.09560010460245323,0.08840885629170447,0.25176035461537755,0.006859735273323648,1.1052953962528262,15.240936027201153,1.0943425384871195,39.70443408843626,1512.5393468377542,0.08906141701095936,0.08906141701095936,0.0,0.0
12,COMPLETE,0.035211759399382474,0.0896601798944579,0.3450567951626644,0.0070135011311557895,1.1020322032027794,16.200935727258642,1.0389210014418877,29.293068206464838,1513.1803000562452,0.035211759399382474,0.08906141701095936,0.05384965761157689,60.46350868743811
13,COMPLETE,0.08173170743352913,0.08293720188512783,0.35571845867814367,0.0071145464459619456,1.2158408959419482,16.51364787368423,1.0195581619100413,28.77260334982269,1531.7997568289406,0.035211759399382474,0.035211759399382474,0.0,0.0
14,COMPLETE,0.08060918061858711,0.08288368571715661,0.33829138218955296,0.007246186545094767,1.1886624410159254,17.3010499470217,1.1715217727760496,29.25229516802256,1536.8104980978503,0.035211759399382474,0.035211759399382474,0.0,0.0
15,COMPLETE,0.07555011581725074,0.08350230909076789,0.33659642969589715,0.0073121243040538955,1.1735350472763293,17.414120379887677,1.4478554816462685,29.612209557120668,1548.6713410280222,0.035211759399382474,0.035211759399382474,0.0,0.0
16,COMPLETE,0.07866671468925088,0.08379413603977925,0.3227292192255343,0.007516038150011127,1.162979149790674,19.960168130659756,1.4213556692617975,31.008049137883607,1486.2160677180166,0.035211759399382474,0.035211759399382474,0.0,0.0
17,COMPLETE,0.08544464874993635,0.08958880433117515,0.40649948120661705,0.006632187248615031,1.3014194852423522,18.68333130931797,1.4742090526647034,22.792300504821565,1594.7111988675886,0.035211759399382474,0.035211759399382474,0.0,0.0
18,COMPLETE,0.08740080091166214,0.0853300268391683,0.31137184288196185,0.007818951194834705,1.1697109585371412,14.366637337387079,1.6942499918687524,30.07862957272342,1558.4396853869052,0.035211759399382474,0.035211759399382474,0.0,0.0
19,COMPLETE,0.09581632428767031,0.07928446840989435,0.2778243535442786,0.007271659462903233,1.1409994568073887,17.29785097579099,1.2806656846483784,27.75928504386696,1504.811325119781,0.035211759399382474,0.035211759399382474,0.0,0.0
20,COMPLETE,0.11181150209169,0.08617623316454126,0.35101794667022657,0.007338489439066304,1.3083067172178837,16.76433865471618,0.8815404799244878,25.08742206645635,1553.0640066082321,0.035211759399382474,0.035211759399382474,0.0,0.0
21,COMPLETE,0.07395336368279674,0.08167623155646397,0.32777306017739966,0.007574460755716032,1.1557298443963835,19.9622915902084,1.4409098131815758,30.986699231268215,1476.6871104908264,0.035211759399382474,0.035211759399382474,0.0,0.0
22,COMPLETE,0.0961218809637015,0.08071324933411042,0.33204296561562063,0.0077595812407604955,1.2156624260375497,18.28081977014415,1.6608617312621945,34.73586175977216,1489.1491704568791,0.035211759399382474,0.035211759399382474,0.0,0.0
23,COMPLETE,0.04213103369251697,0.08633546013568871,0.3609413268213481,0.007051479818635448,1.1308193712032137,19.6253250937573,1.3063972946052653,30.480445865002086,1463.997989098728,0.035211759399382474,0.035211759399382474,0.0,0.0
24,COMPLETE,0.03219819870738113,0.08689463285389257,0.3548276896371607,0.00705818429502221,1.104057294617622,19.25001523933722,1.3061497062512872,32.820602667312606,1456.7911978683915,0.03219819870738113,0.035211759399382474,0.0030135606920013436,8.55839283070358
25,COMPLETE,0.02817026801434448,0.08711500554988251,0.362980239355074,0.007044666458679974,1.1009359513983974,19.02810088851626,1.2436205060278605,33.22964001953085,1426.735240618133,0.02817026801434448,0.03219819870738113,0.004027930693036651,12.509801339021138
26,COMPLETE,0.02766926092254725,0.08669218628259773,0.39620097620013417,0.006676202095883065,1.1049558482305186,18.893325896952415,1.0199817649295564,33.37113633818266,1419.4571624143118,0.02766926092254725,0.02817026801434448,0.0005010070917972273,1.7784960070032396
27,COMPLETE,0.05669211585397038,0.08671215465483467,0.40013704248588283,0.006650196511885273,1.2101526082205447,18.536813963840064,0.913436920249383,37.55568891139328,1351.37526093482,0.02766926092254725,0.02766926092254725,0.0,0.0
28,COMPLETE,0.029275655415378823,0.08512792174476046,0.4049532972781796,0.006700474281667994,1.1317291852083509,19.070546400147517,1.2562674818485937,34.09607702918745,1429.7862136275855,0.02766926092254725,0.02766926092254725,0.0,0.0
29,COMPLETE,0.07271019185781318,0.07596818482736802,0.4170940019785569,0.0066163648459985685,1.2550703762941966,19.044530500570897,1.211929111710133,34.46708074975775,1414.3266360645575,0.02766926092254725,0.02766926092254725,0.0,0.0
30,COMPLETE,0.03279621929430282,0.08499494725108372,0.4309853704772367,0.006408331643612359,1.1389470214406343,17.88330467847805,1.6145595009521254,36.645361119855075,1421.070912177,0.02766926092254725,0.02766926092254725,0.0,0.0
31,COMPLETE,0.028340853903861134,0.08748897018394083,0.39416192645994197,0.006783005411066837,1.1011911322354655,19.071750745423024,1.3233338181130636,33.264290864182534,1437.421848391717,0.02766926092254725,0.02766926092254725,0.0,0.0
32,COMPLETE,0.031988622977552505,0.08768668180098611,0.39562467082752956,0.006725051274503108,1.139720483101137,19.010530482480288,0.9593519703710158,33.33163202016839,1429.1442328795397,0.02766926092254725,0.02766926092254725,0.0,0.0
33,COMPLETE,0.06445140805288896,0.08065505041098386,0.3708951199306474,0.00648243802078276,1.19336936576875,18.237336008091596,0.748656802339807,36.07408122354457,1410.8369000639527,0.02766926092254725,0.02766926092254725,0.0,0.0
34,COMPLETE,0.03835565147406572,0.08457298613432145,0.44127227262820956,0.0068652848442305285,1.1290900571831985,18.522961074450034,1.2204334479628445,38.061831270429295,1375.269937956809,0.02766926092254725,0.02766926092254725,0.0,0.0
35,COMPLETE,0.038322891331422256,0.07829270200467368,0.4617027374866163,0.0065402553857337375,1.1877606544799746,18.99903620225636,1.5343280559538384,32.02796847300363,1443.5046320198762,0.02766926092254725,0.02766926092254725,0.0,0.0
36,COMPLETE,0.05976437065677176,0.08985218712378593,0.4153331106386603,0.006266246313681989,1.2409689015802756,17.834384196182416,1.3292872964077433,33.404931433551695,1431.7246782207053,0.02766926092254725,0.02766926092254725,0.0,0.0
37,COMPLETE,0.04417646432207991,0.08198395787394386,0.38276641271665657,0.006747955259791685,1.1566633154287884,19.543847772066506,1.0900479916048083,35.076301194003975,1399.187333562089,0.02766926092254725,0.02766926092254725,0.0,0.0
38,COMPLETE,0.0583637216085472,0.08799983710773782,0.4708674826757959,0.007149533147608118,1.1208615072173675,18.064746482180258,0.40424205843087746,34.1499428653984,1444.8784879597263,0.02766926092254725,0.02766926092254725,0.0,0.0
39,COMPLETE,0.07682135119873902,0.08517264981474842,0.4279972701789956,0.006907171562131443,1.2853226850073347,16.85657574388657,1.3753166344378138,20.39330706886993,1453.7477437889602,0.02766926092254725,0.02766926092254725,0.0,0.0
40,COMPLETE,0.12074157527546178,0.07252274943520279,0.37145418403763464,0.0062148024846828045,1.353784835268713,18.835216597169627,1.5519441677293515,31.44097386562194,1382.1186062556903,0.02766926092254725,0.02766926092254725,0.0,0.0
41,COMPLETE,0.03169864350409967,0.08754228732727744,0.39644816687194034,0.006737992634189121,1.140461996866705,19.239252403152516,0.9255748811848945,33.040501033347425,1427.7768129549518,0.02766926092254725,0.02766926092254725,0.0,0.0
42,COMPLETE,0.03690734344273507,0.088241236390904,0.38701866667762774,0.006755820153542371,1.1473514037589312,19.527115859833533,0.7769654297734991,32.3943038695673,1424.4664188005456,0.02766926092254725,0.02766926092254725,0.0,0.0
43,COMPLETE,0.029463876187630182,0.0855976736122339,0.4104907623753308,0.0069349732214857565,1.1203362887391615,19.930405183292805,0.6824473220509765,33.14504829281467,1412.4927013229317,0.02766926092254725,0.02766926092254725,0.0,0.0
44,COMPLETE,0.033454625988045376,0.06626453101427073,0.41021457627861374,0.0069899525679649206,1.104315015731541,10.024485617809608,0.6588221480089466,35.72033490129088,1412.547096777714,0.02766926092254725,0.02766926092254725,0.0,0.0
45,COMPLETE,0.04160807613913431,0.08450684974931466,0.44290934255072156,0.006372630813572719,1.1221508053162839,19.91068801759381,0.6525484667931938,33.892736311849866,1388.317783411076,0.02766926092254725,0.02766926092254725,0.0,0.0
46,COMPLETE,0.04060512282951499,0.08606998978721953,0.4209163127459384,0.006564318334228538,1.1864816758834964,18.64245294206758,1.2237881819014291,37.229940857339756,1366.377588218857,0.02766926092254725,0.02766926092254725,0.0,0.0
47,COMPLETE,0.13401377541133597,0.08231823196231305,0.37152409580721646,0.006902147856553084,1.426252540341726,19.43972177227548,1.0139033383187783,31.73862248248849,1403.3545637246868,0.02766926092254725,0.02766926092254725,0.0,0.0
48,COMPLETE,0.15103600895150798,0.08390868682749734,0.3948548496228884,0.007177310730931368,1.569836636402294,12.477276298074832,1.1268660316492969,35.03190242988941,1471.5908428734117,0.02766926092254725,0.02766926092254725,0.0,0.0
49,COMPLETE,0.055231838644028516,0.08870814894637924,0.43406265107246067,0.007459519013274532,1.2301433757431062,17.525471944266176,0.5600340569510603,33.848396288998366,1448.0786463704817,0.02766926092254725,0.02766926092254725,0.0,0.0
50,COMPLETE,0.026748682210531432,0.08055808590647309,0.3811627783417306,0.006964937163302326,1.101534494299518,18.790441502133383,1.7841400034287207,32.540313258078626,1393.0892019945397,0.026748682210531432,0.02766926092254725,0.0009205787120158196,3.3270809603217635
51,COMPLETE,0.027206616842231617,0.07642674723211211,0.38333194878016835,0.006961331268738302,1.101175747787328,18.241770855434655,1.7521201428922795,32.357881651746666,1435.4720311922006,0.026748682210531432,0.026748682210531432,0.0,0.0
52,COMPLETE,0.03005042428984987,0.07721870799852128,0.36212198555383973,0.006815405100830964,1.1008917181788278,18.138895386747457,1.8717393102156636,32.23736011700683,1437.1435903321678,0.026748682210531432,0.026748682210531432,0.0,0.0
53,COMPLETE,0.05398188585071848,0.07482717081979906,0.38122874479209184,0.006973621790092006,1.1693442520348551,17.027287959128035,1.8056808901999741,32.562879979179165,1393.8574072263802,0.026748682210531432,0.026748682210531432,0.0,0.0
54,COMPLETE,0.030620646629357783,0.0791008778372067,0.3878703668743956,0.007093587865943876,1.1195972015260123,18.678415998510847,1.9619029875269536,30.868904010699307,1405.1779526182959,0.026748682210531432,0.026748682210531432,0.0,0.0
55,COMPLETE,0.06914518059850593,0.07271398536464964,0.34625440406703867,0.007406197034700456,1.159911796159489,18.328193779814068,1.8000045419273731,34.406211705265186,1438.8180844553117,0.026748682210531432,0.026748682210531432,0.0,0.0
56,COMPLETE,0.02931156768240144,0.07894308661341241,0.40214880430009753,0.006812300812414742,1.1175690314393476,17.626519612193867,1.5179384553150084,35.850873593899856,1466.0384240757273,0.026748682210531432,0.026748682210531432,0.0,0.0
57,COMPLETE,0.06335604154301308,0.08076001632275791,0.3619260727825947,0.006470744787950337,1.179076697418667,19.141697739496088,1.7031783185531768,31.283457370405543,1420.9535693591374,0.026748682210531432,0.026748682210531432,0.0,0.0
58,COMPLETE,0.027642792912439224,0.06972525344909355,0.3769307999450706,0.006682460867691764,1.1014697457627298,17.922112869175315,1.7453864242271697,28.615101655111186,1387.2424242479956,0.026748682210531432,0.026748682210531432,0.0,0.0
59,COMPLETE,0.02840225343172614,0.06880905849872322,0.37859074750530225,0.007211252780760703,1.1000556058650186,16.111628792478548,1.8802552699379835,28.79672458501278,1372.553513236857,0.026748682210531432,0.026748682210531432,0.0,0.0
60,COMPLETE,0.07731713910899704,0.0700462627034712,0.3656899925755201,0.007020476404198249,1.2026954466706703,17.22505311926403,1.7233278370258243,27.794080754771624,1356.69764739257,0.026748682210531432,0.026748682210531432,0.0,0.0
61,COMPLETE,0.02907156686523793,0.06462262766724478,0.37862816956113937,0.00723708397783053,1.1003013453512345,16.16403630062301,1.9390922514026312,28.690910217451034,1369.4564415850432,0.026748682210531432,0.026748682210531432,0.0,0.0
62,COMPLETE,0.044794374646823676,0.06958363987047114,0.3900130064516018,0.0071769327820603804,1.1513481598573079,15.191472296184195,1.8537415766606804,29.7997581754747,1391.6502661206296,0.026748682210531432,0.026748682210531432,0.0,0.0
63,COMPLETE,0.033641462512798086,0.06752620193561448,0.3761785690238004,0.0068238760181217,1.1152392906340427,15.827864305463931,1.7619830194535018,25.083306423786514,1380.914971010048,0.026748682210531432,0.026748682210531432,0.0,0.0
64,COMPLETE,0.040643277426900506,0.07178256574607557,0.3412924259019749,0.006670253915510309,1.1017866569449704,16.486741811998566,1.628918048054669,26.994517685132735,1386.4347313891924,0.026748682210531432,0.026748682210531432,0.0,0.0
65,COMPLETE,0.050346717867205605,0.07430313197938347,0.3525992466783276,0.007372482352761811,1.1293277783305484,14.617155790137428,1.9051683431643607,30.51504625806737,1365.07597427034,0.026748682210531432,0.026748682210531432,0.0,0.0
