top_fraction,n_trials,rmse_min,rmse_median,rmse_mean,rmse_max
0.05,10,0.024548156753613905,0.02501739625920027,0.02494525420615674,0.025208331955922834
0.1,20,0.024548156753613905,0.02522296148307996,0.025178215712952347,0.02551462325804559
0.2,40,0.024548156753613905,0.025522263646167234,0.025490219762689094,0.026181596589971348
0.3,60,0.024548156753613905,0.025770595986841102,0.02592258227694895,0.02746102692908625
0.5,100,0.024548156753613905,0.026665315486401206,0.02725320522208868,0.031667333326315945
