number,state,rmse,ores,osat,alfa,npar,ksatfit,lexp,ksatexm,bdens
134,COMPLETE,0.024548156753613905,0.08831327443984992,0.37469979382257457,0.006101274936427497,1.1017549234778734,19.58797357921765,1.4691429065982637,37.23906937084666,1489.64350645545
184,COMPLETE,0.024697611220520898,0.08719902083812044,0.3713993818298454,0.0060445685080161215,1.1000126368038956,19.088186836448717,1.6747939159977634,36.37919269690591,1454.628771576402
124,COMPLETE,0.024747363495936286,0.08957424557343448,0.3796944776620732,0.006073996519132361,1.1076233835827367,19.549575190573332,1.3238216416713435,36.966096606522306,1443.6381629424852
191,COMPLETE,0.024815559635035435,0.08806244831155842,0.3789392162704047,0.006073612299010037,1.100730874072562,19.333320833250806,1.6554514393634767,37.649862675358804,1473.5900930903533
131,COMPLETE,0.024973986465920896,0.08849318344034475,0.3839276124641529,0.0060796872807712355,1.1073988401510975,19.813966668525648,1.4143208717114308,36.907159981225846,1447.854960246042
123,COMPLETE,0.025060806052479647,0.08996167911027395,0.38047849891421154,0.006082118433746932,1.1094886761039082,19.35488529805461,1.340276018635353,36.984286729443234,1441.928341967387
192,COMPLETE,0.025088244259015034,0.08814949168937926,0.3823180615182368,0.0060837257397288675,1.1076905604082525,19.470711670078718,1.6484630058489158,37.5416213396696,1463.4191701621835
125,COMPLETE,0.025117085818223417,0.08954564655978586,0.37625239264652205,0.006097957490520528,1.1082460860293326,19.515434181934165,1.3203966119132338,36.93033357061003,1442.1460000592954
132,COMPLETE,0.025195396404899064,0.08864578918411846,0.384163583060573,0.006197075779831906,1.1077554411771904,19.984437363837987,1.4104468241274788,36.86761651194229,1465.652236221617
139,COMPLETE,0.025208331955922834,0.08724079909739987,0.3697212397968818,0.00626242366517406,1.10013704799689,18.978122122507795,1.5939783072355804,36.57202509544494,1490.5062496069365
