metric,matlab_baseline,optuna_best,difference_optuna_minus_matlab,relative_difference_percent
rmse,0.027357,0.024548156753613905,-0.002808843246386094,-10.267365743268977
mae,0.02156,0.021820000000000006,0.00026000000000000675,1.205936920222666
mbe,-0.01384,-0.0018200000000000104,0.012019999999999989,86.84971098265888
r2,0.485691,0.4541732409440449,-0.03151775905595511,-6.489261496703688
nse,-0.01529,0.18248839824096064,0.19777839824096063,1293.5147039958185
